mabr,b,name,nb_arr_rate,ap_abbr,mibr,pct_black,p,state,arr_rate_disproportion,b_arr_rate,lat,lng,minbr,manbr
6.183017312,2426,Edgewater Park Township Police,21.69,N.J.,4.122011542,0.273167436,8881,NJ,3.97,86.2,40.056161,-74.908523,0.309837335,0.309837335
6.806282715,1910,Evesham Township Police Department,45.29,N.J.,25.13089003,0.041942993,45538,NJ,5.04,228.3,39.879313,-74.901688,7.151370679,0.550105437
14.85482782,1481,Florence Township Police Department,77.44,N.J.,43.21404456,0.122305723,12109,NJ,4.74,367.3,40.11421,-74.793745,10.82047422,1.787730523
4.824618594,23007,Willingboro Township Police Department,40.59,N.J.,4.73768853,0.727402068,31629,NJ,2.36,95.8,40.027511,-74.883549,2.087682672,0.927858965
5.046257359,2378,Lumberton Police Department,52.84,N.J.,5.887300252,0.189346286,12559,NJ,3.18,168.2,39.967812,-74.800396,1.964443571,0.883999607
6.024096382,1826,Maple Shade Police Department,54.15,N.J.,15.88170864,0.09544718,19131,NJ,2.99,162.1,39.952212,-74.994646,7.859000289,1.155735337
5.25920361,1331,Moorestown Township Police Department,36.71,N.J.,3.756574007,0.064218856,20726,NJ,9.05,332.1,39.968962,-74.9489,0.567156484,0.464037123
10.89423513,2203,Mount Holly Township Police Department,116.87,N.J.,31.32092601,0.231019295,9536,NJ,3.44,401.7,39.99507,-74.786839,7.63671076,1.09095868
6.402363948,4061,Mount Laurel Police Department,33.36,N.J.,15.7596651,0.097004586,41864,NJ,4.99,166.5,39.949446,-74.903424,3.253710023,0.661323175
0,2479,New Hanover Township Police Department,32.82,N.J.,4.840661557,0.335680433,7385,NJ,0.50,16.5,40.03317,-74.58177,8.968609865,0.203832042
1.396648045,716,North Hanover Township Police Department,24.99,N.J.,5.58659218,0.093253451,7678,NJ,3.97,99.2,40.059172,-74.577497,3.447285263,0.287273772
10.22304833,1076,Palmyra Police Department,122.11,N.J.,26.95167286,0.145444715,7398,NJ,4.40,537.2,40.0026146,-75.0352732,5.536222714,1.423600127
6.644518274,5719,Pemberton Township Police Department,61.33,N.J.,7.518796994,0.204893952,27912,NJ,2.52,154.7,39.960639,-74.583974,2.613436669,2.388140405
27.13178292,516,Riverside Police Department,154.57,N.J.,176.356589,0.063869291,8079,NJ,5.42,837.2,40.035061,-74.957297,31.0723258,1.983339944
5.349977708,2243,Westampton Township Police Department,48.86,N.J.,13.82077575,0.254510382,8813,NJ,3.83,187.2,40.014317,-74.826024,1.522070015,0.913242009
0.039824375,100441,Camden County Office Of The Sheriff,5.26,N.J.,0.159297498,0.195540993,513657,NJ,4.90,25.8,39.8023521,-74.9612508,0.029040502,0.002420042
3.225806453,620,Berlin Township Police Department,107.66,N.J.,24.19354839,0.11573642,5357,NJ,1.35,145.2,39.807695,-74.933924,18.15495039,2.95545704
16.00322754,37180,Camden County Police Department,129.54,N.J.,37.46637977,0.480709557,77344,NJ,1.46,189.5,39.9367868,-75.1066438,14.56528234,7.195498456
15.69037657,956,Clementon Police Department,104.85,N.J.,16.73640167,0.1912,5000,NJ,1.85,193.5,39.803179,-74.9842088,8.65479723,4.203758655
15.77287066,1268,Collingswood Police Department,50.40,N.J.,42.58675079,0.091052707,13926,NJ,4.82,242.9,39.9152748,-75.0783915,9.322167799,1.501027018
16.97247707,4360,Cherry Hill Police Department,51.14,N.J.,49.54128442,0.061369555,71045,NJ,7.46,381.7,39.908613,-74.999519,7.527929819,1.904476269
13.76146789,10464,Gloucester Township Police Department,41.20,N.J.,16.05504587,0.161896216,64634,NJ,2.87,118.2,39.802364,-75.044723,4.541258999,2.732139561
12.9423329,6104,Lindenwold Police Department,72.47,N.J.,22.60812582,0.346562198,17613,NJ,2.13,154.5,39.8172275,-74.9888904,10.33973412,3.562429403
6.30517024,793,Magnolia Police Department,71.87,N.J.,22.69861286,0.182676803,4341,NJ,2.81,201.8,39.8561838,-75.0364714,9.301014656,3.664036077
4.873496474,9644,Pennsauken Police Department,52.17,N.J.,13.68726669,0.268747388,35885,NJ,2.62,136.6,39.956562,-75.055918,3.658397165,1.562440456
15.42833942,2463,Pine Hill Police Department,71.69,N.J.,63.33739342,0.240691879,10233,NJ,2.71,194.1,39.7868057,-74.9846568,18.27541828,3.346203346
8.1799591,978,Somerdale Police Department,151.21,N.J.,46.01226994,0.189866045,5151,NJ,2.03,306.7,39.8453912,-75.0217007,18.21231728,3.594536305
24.13793103,580,Stratford Police Department,115.02,N.J.,46.55172414,0.082386364,7040,NJ,3.81,437.9,39.8289569,-75.0154579,10.37151703,1.857585139
9.471191792,2534,Voorhees Township Police Department,22.97,N.J.,22.09944751,0.086986372,29131,NJ,5.55,127.5,39.851969,-74.961284,2.970259804,1.315937888
5.83657587,514,Waterford Township Police Department,54.66,N.J.,71.98443573,0.048267443,10649,NJ,2.49,136.2,39.751721,-74.849264,21.1149482,2.170695609
8.049275565,14287,Winslow Township Police Department,51.76,N.J.,22.25799678,0.36170536,39499,NJ,2.13,110.3,39.718603,-74.918886,9.876249405,2.062509916
15.01501502,999,Woodlynne Police Department,62.15,N.J.,26.02602603,0.33546004,2978,NJ,2.72,169.2,39.9164778,-75.0955486,7.579585649,3.53713997
0,4565,Cape May County Sheriff's Office,10.95,N.J.,0,0.046933635,97265,NJ,5.86,64.2,39.0861425,-74.8477158,0,0
18.79126461,1969,Middle Township Police Department,125.25,N.J.,52.81868972,0.104119296,18911,NJ,2.17,272.2,39.056527,-74.850383,25.20363593,3.600519419
55.55555556,594,Wildwood Police Department,421.90,N.J.,336.7003367,0.111549296,5325,NJ,1.94,816.5,38.9889136,-74.8198244,166.5609808,12.89367998
17.00755892,8996,City Of Bridgeton Police Department,52.28,N.J.,36.12716763,0.354885794,25349,NJ,2.85,149.1,39.4275181,-75.2279544,12.04671926,4.341711001
17.93642337,5631,Millville Police Department,90.12,N.J.,44.5746759,0.198274648,28400,NJ,3.87,348.6,39.3900935,-75.0547965,7.114936976,3.513549124
0.134174158,320479,Essex County Sheriff's Office,5.84,N.J.,0.524215315,0.408790399,783969,NJ,6.06,35.4,40.7872165,-74.2461362,0.161815789,0.030205614
8.544400371,3277,Belleville Police Department,33.02,N.J.,10.98565762,0.091215276,35926,NJ,3.18,105.0,40.7935,-74.161448,4.5330638,2.082759043
10.39168665,8757,Bloomfield Police Department,20.15,N.J.,8.221993833,0.185078728,47315,NJ,3.59,72.4,40.803,-74.188959,2.386015872,1.582032263
8.894826586,56887,East Orange Police Department,53.37,N.J.,9.615553641,0.885125253,64270,NJ,2.53,134.8,40.7650581,-74.2118615,3.927942571,1.354462955
10.18281297,46058,Irvington Police Department,35.71,N.J.,9.813713144,0.854096354,53926,NJ,2.72,97.0,40.725651,-74.232076,2.541942044,3.812913066
15.08295627,663,Livingston Police Department,16.72,N.J.,13.57466064,0.02257713,29366,NJ,43.29,724.0,40.788733,-74.32134,4.354945476,0.45291433
6.764775694,8426,Maplewood Police Department,8.74,N.J.,20.88772846,0.353039762,23867,NJ,6.98,61.0,40.728901,-74.268213,3.367657535,0.453338514
7.038123167,10230,Montclair Police Department,15.82,N.J.,9.481915934,0.271576097,37669,NJ,5.10,80.7,40.822249,-74.211989,2.478224425,0.437333722
12.73885351,628,Township Of Nutley Police Department,17.95,N.J.,15.92356689,0.022136059,28370,NJ,8.25,148.1,40.8196,-74.15877,2.523249946,1.009299978
6.837606838,21645,Orange Police Department ,27.33,N.J.,4.62000462,0.718291631,30134,NJ,2.68,73.2,40.7683,-74.236031,1.531393568,2.827188126
13.35631194,4642,South Orange Police Department ,18.43,N.J.,27.35889703,0.28657859,16198,NJ,5.26,96.9,40.74765,-74.258811,8.653513326,0.432675666
4.477368935,12284,West Orange Police Department,15.33,N.J.,9.605991534,0.265847166,46207,NJ,3.76,57.6,40.78865,-74.255416,3.036288064,0.972791322
0,29006,Gloucester County Sheriff's Office,8.50,N.J.,0.586085637,0.100614663,288288,NJ,5.90,50.1,39.7210193,-75.1437077,0.0848497,0
2.036659878,1473,Clayton Police Department,84.55,N.J.,22.40325866,0.180095366,8179,NJ,2.44,206.4,39.6637555,-75.0775045,7.157769162,1.342081718
13.45170836,3717,Deptford Township Police Department,162.23,N.J.,39.81705676,0.121625601,30561,NJ,4.01,651.1,39.819613,-75.122843,8.791536284,2.756668157
5.357142858,560,East Greenwich Police Department,61.03,N.J.,26.78571429,0.058608059,9555,NJ,5.62,342.9,39.793914,-75.236862,9.449694275,0.667037243
0,1208,Franklin Township Police Department,54.19,N.J.,9.933774834,0.071819263,16820,NJ,2.90,157.3,39.59279,-75.043283,4.227517294,1.601332308
8.93629288,3469,Glassboro Police Department,204.96,N.J.,110.6947247,0.186716185,18579,NJ,2.87,587.8,39.7000956,-75.1114226,65.65188617,1.853077432
2.649006622,755,Logan Township Police Department,81.71,N.J.,17.21854304,0.124958623,6042,NJ,3.39,276.8,39.784674,-75.34855,6.052581804,1.32400227
0.592885375,5060,Monroe Township Police Department,35.86,N.J.,14.82213438,0.140053697,36129,NJ,2.09,74.9,39.669429,-74.983541,4.827963565,1.094338408
6.252791425,2239,Paulsboro Police Department,112.75,N.J.,77.71326485,0.367229785,6097,NJ,3.01,339.9,39.8399753,-75.2399603,16.84810783,0.777604977
4.955752211,2825,Washington Township Police Department,56.48,N.J.,12.03539823,0.058176651,48559,NJ,4.59,259.1,39.745864,-75.066798,3.498491276,1.596186645
3.53606789,1414,West Deptford Police Department,133.30,N.J.,74.96463927,0.065230429,21677,NJ,3.58,476.7,39.842613,-75.173985,19.69106253,0.88831861
7.892659826,2534, Woodbury Police Department,113.61,N.J.,110.8918706,0.249066247,10174,NJ,3.24,367.8,39.8379065,-75.15153,28.40314136,3.141361257
1.966568338,1017,Woolwich Township Police Department,22.76,N.J.,29.49852507,0.099705882,10200,NJ,4.49,102.3,39.737177,-75.309239,5.880431232,0.544484373
0,83925,Hudson County Sheriff's Office,3.84,N.J.,0.011915401,0.132318302,634266,NJ,6.19,23.8,40.7313837,-74.0786266,0.001817055,0
10.38681948,5584,Bayonne Police Department,30.17,N.J.,14.68481375,0.088601168,63024,NJ,4.14,125.0,40.6624111,-74.1102284,4.230501393,1.915041783
0,537,Guttenberg Police Department,44.55,N.J.,1.862197393,0.048049392,11176,NJ,0.63,27.9,40.7927841,-74.0045723,7.237522324,3.477770467
32.82399547,1767,Hoboken Police Department,34.72,N.J.,43.01075269,0.035336466,50005,NJ,11.23,389.9,40.7452508,-74.0279257,4.083917244,3.275426013
14.7807881,64002,Jersey City Police Department,30.21,N.J.,15.65576076,0.258492631,247597,NJ,5.75,173.9,40.7114174,-74.0647599,2.756066342,2.837767913
14.63860933,2186,Kearny Police Department,44.05,N.J.,11.89387008,0.053731197,40684,NJ,3.67,161.5,40.7537199,-74.1208748,8.416021612,2.62351291
7.328990222,2456,North Bergen Police Department,26.96,N.J.,6.921824099,0.040412683,60773,NJ,3.10,83.5,40.7946,-74.019633,2.880806626,2.212047945
14.97005988,668,Secaucus Police Department,52.00,N.J.,26.94610778,0.041072307,16264,NJ,6.77,351.8,40.7819578,-74.0676489,7.117209541,1.731213132
9.176942931,3487,Union City Police Department,63.21,N.J.,13.7654144,0.052471597,66455,NJ,1.96,124.2,40.7674599,-74.0322949,8.146995299,3.890865201
0,606,Weehawken Police Department,29.54,N.J.,13.20132012,0.048271467,12554,NJ,2.18,64.4,40.76787,-74.021739,4.603280884,2.427184466
7.863695937,2289,West New York Police Department ,41.90,N.J.,3.931847969,0.046048926,49708,NJ,0.95,39.8,40.7860317,-74.0095067,6.663995445,4.766022059
0,3451,Hunterdon County Sheriff's Office,5.72,N.J.,0,0.026887627,128349,NJ,3.14,18.0,40.5652832,-74.9119695,0,0
0,810,Clinton Township Police,40.73,N.J.,16.04938271,0.060097937,13478,NJ,2.49,101.2,40.63085,-74.868412,9.235869908,0.710451531
0,74318,Mercer County Sheriff's Office,5.00,N.J.,0.376759332,0.202770434,366513,NJ,7.44,37.2,40.2825027,-74.703724,0.051335581,0
4.268032439,2343,East Windsor Township Police Department,34.57,N.J.,16.21852327,0.086171387,27190,NJ,3.16,109.3,40.268859,-74.537586,6.841872258,1.167142915
5.665149217,9885,Ewing Police Department,15.71,N.J.,10.11633789,0.276194468,35790,NJ,4.71,74.0,40.259958,-74.788842,3.204014669,1.080872418
9.309914579,10419,Hamilton Police Division,30.79,N.J.,36.95172281,0.117776723,88464,NJ,4.98,153.3,40.213059,-74.697455,6.585944007,1.435069511
8.606329817,3602,Lawrence Township Police Department,36.12,N.J.,18.3231538,0.107612333,33472,NJ,9.24,333.7,40.277728,-74.729338,3.682624707,0.836960161
6.172839512,810,Princeton Police Department,12.62,N.J.,19.75308644,0.049800184,16265,NJ,9.20,116.0,40.357763,-74.659233,3.623422841,0.064703979
11.32246377,44160,Trenton Police Department,52.63,N.J.,17.79891304,0.52006171,84913,NJ,3.61,190.2,40.2237484,-74.7640005,3.435329914,3.484406056
7.014028058,998,West Windsor Township Police Department,25.95,N.J.,34.06813628,0.03673845,27165,NJ,10.31,267.5,40.298084,-74.619123,6.191003936,0.191080368
0,78462,Middlesex County Sheriff's Office,4.72,N.J.,0,0.096883651,809858,NJ,6.55,30.9,40.4395925,-74.4075852,0,0
6.778661951,3393,Cateret Police Department,41.18,N.J.,27.70409667,0.148529154,22844,NJ,4.34,178.6,40.5837895,-74.2274575,6.374993574,1.747982109
8.025682183,623,Dunellen Police Department,71.77,N.J.,33.70786517,0.086204511,7227,NJ,4.90,351.5,40.5902312,-74.4655947,9.388249546,2.574197456
7.936507945,1890,East Brunswick Police Department,44.74,N.J.,50.79365085,0.039779424,47512,NJ,6.99,312.7,40.434239,-74.40504,7.430625575,0.986366227
10.78626171,7046,Edison Police Department,16.22,N.J.,9.508941241,0.07048326,99967,NJ,5.82,94.4,40.538204,-74.378585,2.066271349,1.011612015
6.392694064,1095,Highland Park Police Department,28.32,N.J.,27.39726027,0.078314976,13982,NJ,7.25,205.5,40.5007945,-74.4279107,2.793512842,0.77597579
7.648183556,523,Jamesburg Police Department,48.41,N.J.,30.59273423,0.088419273,5915,NJ,4.07,196.9,40.3492789,-74.4404045,11.68397626,0.741839763
3.691853309,4063,Old Bridge Township Police Department,26.52,N.J.,3.445729755,0.06214914,65375,NJ,2.65,70.4,40.41339,-74.307026,2.05506263,1.10908142
4.531722054,662,Metuchen Police Department,49.88,N.J.,27.19033233,0.048769707,13574,NJ,7.33,365.6,40.5424449,-74.362767,6.970260223,0.309789343
1.430615165,699,Middlesex Borough Police Department,35.33,N.J.,45.77968526,0.051265127,13635,NJ,7.09,250.4,40.5746267,-74.4982587,6.880024737,0.154607297
0.65231572,1533,Monroe Township Police Department,20.98,N.J.,8.480104365,0.0391751,39132,NJ,4.63,97.2,40.336508,-74.433021,2.260698423,0.558525493
15.02485314,8852,New Brunswick Police Department,34.73,N.J.,27.11251695,0.160417535,55181,NJ,6.19,215.0,40.4866775,-74.4444144,6.130069719,2.115305748
3.794266441,7116,North Brunswick Township Police Department,31.58,N.J.,14.19336706,0.174660056,40742,NJ,4.56,143.9,40.452477,-74.476649,3.955272706,0.505561173
7.838745801,5358,Perth Amboy Police Department,59.88,N.J.,24.63605823,0.105443382,50814,NJ,2.88,172.3,40.5201604,-74.2713313,7.281766983,2.507919747
3.6219386,11596,Piscataway Township Police Department,22.43,N.J.,13.88409796,0.206908857,56044,NJ,3.78,84.9,40.555355,-74.460944,3.10475162,0.809935205
2.707092581,1847,Plainsboro Police Department,30.97,N.J.,26.52950729,0.08030784,22999,NJ,7.17,222.0,40.335081,-74.591083,3.876701967,0.236384266
3.717472119,4573,Sayreville Police Department,24.81,N.J.,5.685545594,0.107085987,42704,NJ,2.20,54.7,40.4673573,-74.3193505,3.015918806,1.12769138
7.765830349,3348,South Brunswick Township Police Department,22.89,N.J.,10.15531661,0.077112652,43417,NJ,5.65,129.3,40.391703,-74.545909,3.344231201,1.048191869
13.55357899,2361,South Plainfield Police Department,45.85,N.J.,35.15459551,0.100962155,23385,NJ,7.28,333.8,40.5744129,-74.4147996,7.134703196,1.046423135
4.378283713,1142,South River Police Department,51.06,N.J.,27.14535902,0.07133933,16008,NJ,4.22,215.4,40.4456522,-74.3784585,12.51177183,0.672675905
4.077471966,9810,Woodbridge Township Police Department,38.20,N.J.,13.96534148,0.098508812,99585,NJ,4.24,162.1,40.565254,-74.295634,4.143692565,1.0470621
0.086127081,46443,Monmouth County Sheriff's Office,6.44,N.J.,0.387571862,0.073674609,630380,NJ,10.07,64.8,40.287056,-74.1524457,0.018837649,0.010275081
18.73111782,8275,Asbury Park Police Department,140.93,N.J.,74.44108761,0.51346488,16116,NJ,2.43,341.9,40.2228837,-74.0102318,33.7967096,5.101390129
11.41407736,1577,Eatontown Police Department,71.95,N.J.,51.36334813,0.124085294,12709,NJ,5.37,386.2,40.2916068,-74.054357,8.98311175,1.527128997
6.600660066,1515,Freehold Township Police Department,49.07,N.J.,25.08250825,0.125705277,12052,NJ,3.61,176.9,40.2602193,-74.2758842,7.402486476,0.949036728
4.660797512,1931,Freehold Township Police Department,38.39,N.J.,9.321595024,0.053366129,36184,NJ,4.33,166.2,40.245209,-74.279428,3.882871573,0.583890462
10.18766757,1865,Howell Township Police Department ,39.20,N.J.,16.62198392,0.036514929,51075,NJ,4.98,195.2,40.164839,-74.207502,5.120910384,0.914448283
21.08433735,664,Keansburg Police Department,255.91,N.J.,131.0240964,0.065710045,10105,NJ,3.38,866.0,40.4482789,-74.1458229,51.37167673,5.296049147
11.51631478,521,Keyport Police Department,123.38,N.J.,88.29174664,0.071961326,7240,NJ,2.71,334.0,40.4321142,-74.2015294,27.23619586,3.423128442
11.91567369,4364, Long Branch Police Department,39.20,N.J.,38.03849679,0.142061916,30719,NJ,3.53,138.2,40.2953722,-73.989899,10.81388731,2.466325175
3.243243239,925,Manalapan Township Police Department,21.87,N.J.,5.405405398,0.023796049,38872,NJ,5.44,118.9,40.296959,-74.33003,1.528447572,0.579755975
1.189060644,841,Marlboro Township Police Department,26.10,N.J.,15.45778837,0.020925083,40191,NJ,5.33,139.1,40.338568,-74.268523,7.471410419,0.533672173
3.225806452,620,Matawan Police Department,51.40,N.J.,12.90322581,0.070374574,8810,NJ,2.89,148.4,40.4112478,-74.2373663,6.95970696,0.732600733
3.701989818,2161,Aberdeen Township Police Department ,55.46,N.J.,9.717723272,0.11867106,18210,NJ,2.90,160.6,40.417296,-74.222882,3.053149729,0.810019316
8.055235881,869,Middletown Police Department,31.64,N.J.,52.93440722,0.013063348,66522,NJ,5.53,174.9,40.397164,-74.091301,9.428358186,0.8529694
9.747493502,10772,Neptune Township Police Department,101.09,N.J.,49.29446714,0.385609451,27935,NJ,2.46,248.4,40.209268,-74.038644,19.57699703,2.272330012
19.34235977,517, Neptune City Police Department,121.32,N.J.,216.6344294,0.106181968,4869,NJ,5.28,640.2,40.2002113,-74.0336201,47.33455882,1.838235294
3.588516746,1672,Tinton Falls Police Department,37.24,N.J.,29.3062201,0.093449586,17892,NJ,4.56,169.9,40.2666875,-74.0987464,6.596794081,0.369913687
11.50483203,2173,Ocean Township Police Department,41.36,N.J.,46.47952142,0.079623319,27291,NJ,6.09,251.7,40.247723,-74.029954,9.753961303,1.592483478
12.53298153,1516,Red Bank Police Department,95.04,N.J.,80.47493404,0.124201213,12206,NJ,2.71,257.9,40.3486965,-74.0664717,33.95696913,2.712815716
17.21439751,639,Wall Township Police Department,91.36,N.J.,56.33802821,0.024422871,26164,NJ,8.02,732.4,40.158622,-74.070231,15.55337904,1.214495593
0,15360,Morris County Sheriff's Office,2.90,N.J.,0,0.031202009,492276,NJ,7.27,21.1,40.8585805,-74.5474268,0,0
9.927797834,1108,Town Of Dover Police Department,60.59,N.J.,23.46570397,0.061023297,18157,NJ,2.53,153.4,40.8855999,-74.5591632,12.78667371,2.991377793
0,509,Florham Park Police Department,24.14,N.J.,13.7524558,0.043519152,11696,NJ,6.11,147.3,40.7758324,-74.3940582,4.111915616,0.35755788
2.379064237,1261,Morris Township Police Department,33.45,N.J.,47.58128473,0.056531875,22306,NJ,4.53,151.5,40.794283,-74.492211,12.97220242,0.332620575
22.16174184,2572,Morristown Bureau Of Police,82.90,N.J.,26.04976672,0.139699093,18411,NJ,2.70,223.6,40.7965621,-74.4773184,13.38468338,4.735147421
0.619578687,1614,Mount Olive Township Police Department,48.18,N.J.,17.34820323,0.057402995,28117,NJ,1.94,93.6,40.864449,-74.731665,12.30049428,0.565973663
1.600853786,1874,Parsippany Troy Hills Police Department,12.50,N.J.,11.2059765,0.035200421,53238,NJ,3.93,49.1,40.865499,-74.424688,2.453079978,0.311502219
4.347826083,690,Randolph Township Police Department,15.33,N.J.,5.797101443,0.026812777,25734,NJ,6.71,102.9,40.847649,-74.574805,1.637118671,0.559016132
4.870129879,616,Rockaway Township Police Department,40.36,N.J.,4.870129879,0.025500911,24156,NJ,5.95,240.3,40.930031,-74.519533,2.5913339,0.807136788
1.831501835,546,Roxbury Township Police Department,40.65,N.J.,18.31501835,0.023409364,23324,NJ,3.42,139.2,40.878191,-74.651659,7.024321714,0.702432171
0,18164,Ocean County Sheriff's Office ,4.09,N.J.,0,0.031503711,576567,NJ,6.19,25.3,39.8658498,-74.2630272,0,0
7.989347537,1502,Brick Township Police Department,30.23,N.J.,29.96005326,0.02000746,75072,NJ,5.88,177.8,40.063608,-74.115206,5.341851298,1.196139731
7.707910741,2465,Dover Township Police Department,36.68,N.J.,22.71805271,0.027016956,91239,NJ,5.96,218.7,39.97885,-74.147473,3.187870322,0.946222993
10.51051052,2664,Jackson Township Police Department,28.09,N.J.,12.76276277,0.048563512,54856,NJ,4.05,113.7,40.107956,-74.329517,2.759043532,0.938841202
7.79925398,5898,Lakewood Police Department,22.49,N.J.,31.02746692,0.063526599,92843,NJ,7.77,174.8,40.082782,-74.209407,3.128414515,0.782103629
